keep,co-correlated
cluster,NA
subject_id,NA
how_many_persons_live_in_your_home_including_both_adults_and_children,NA
how_many_children_under_18_years_of_age_live_in_your_home,NA
age,NA
sex,NA
sysbpavg,NA
diabpavg,NA
bmi_final,NA
pulseavg,NA
bodyfat_pcnt,NA
per_kcal_fiber_tnfs,NA
hei_asa24_totalscore,NA
fecal_calprotectin,NA
fecal_mpo,NA
fecal_ph,NA
plasma_lbp_bd1,NA
hei_ffq_totalscore,NA
dt_p184,NA
dt_ret,NA
dt_atad,NA
dt_folac,NA
dt_vb12,NA
dt_b12ad,NA
dt_caffn,NA
dt_theo,NA
peonidin,NA
eriodictyl,NA
gi,NA
f_juice,NA
v_starchy_other,NA
g_whole,NA
pf_curedmeat,NA
pf_organ,NA
pf_poult,NA
pf_seafd_low,NA
pf_eggs,NA
pf_nutsds,NA
toctra,NA
toctrb,NA
ergcal,NA
vitk1d,NA
mk4,NA
f15d1,NA
f24d1c,NA
f18d2i,NA
f18d3i,NA
f22d1t,NA
f18d2tt,NA
phystr,NA
betn_c,NA
coumestrol,NA
biochanin_a,NA
total_vitd,NA
total_vitc,NA
fluidmilk_servings,NA
altmilk_servings,NA
crp_bd1,NA
wbc_bd1,NA
pd_whole_tree_fat,NA
pd_whole_tree_protein,NA
st_wt,NA
caff_total,NA
mois,NA
dheas_bd1,NA
hba1c_bd1,NA
sysbpavgv2,NA
diabpavgv2,NA
chol_bd1,NA
hdl_bd1,NA
ur_cort_ug_gcreat,NA
ur_epi_ug_gcreat,NA
ur_nepi_ug_gcreat,NA
allo_load,NA
alc,NA
time_mod,NA
time_vig,NA
pulsepavg_qc,NA
vitamind_bd1,NA
wheaton_score,NA
parvo_kcalday0,NA
theo,NA
ret,NA
bcar,NA
acar,NA
cryp,NA
calc_total,NA
iron_total,NA
magn_total,NA
zinc_total,NA
vc_total,NA
vb1_total,NA
vb2_total,NA
vb6_total,NA
fa_total,NA
vb12_total,NA
vara_total,NA
lyco_total,NA
atoc_total,NA
vk_total,NA
chole_total,NA
pfat_total,NA
p205_total,NA
vitd_total,NA
vite_add_total,NA
b12_add_total,NA
pf_mps_total_per_kcal,NA
when_you_are_outdoors_do_you_make_an_effort_to_avoid_direct_sunlight_to_wear_protective_clothing_like_hats_or_long_sleeves_or_to_physically_move_to_the_shade_Yes,NA
subjective_occupation_exposure_to_microbes_soem_0_low_1_high_1,NA
birth_country_united_states,NA
tobacco_use_1,NA
how_much_time_do_you_typically_spend_outdoors_per_day_on_weekdays_30-60 minutes,NA
how_much_time_do_you_typically_spend_outdoors_per_day_on_weekdays_60-90 minutes,NA
how_much_time_do_you_typically_spend_outdoors_per_day_on_weekdays_Less than 30 minutes,NA
how_much_time_do_you_typically_spend_outdoors_per_day_on_weekdays_More than 90 minutes,NA
how_much_time_do_you_typically_spend_outdoors_per_day_on_weekends_30-60 minutes,NA
how_much_time_do_you_typically_spend_outdoors_per_day_on_weekends_60-90 minutes,NA
how_much_time_do_you_typically_spend_outdoors_per_day_on_weekends_Less than 30 minutes,NA
how_much_time_do_you_typically_spend_outdoors_per_day_on_weekends_More than 90 minutes,NA
during_what_times_of_the_year_do_you_use_sunscreen_All year,NA
during_what_times_of_the_year_do_you_use_sunscreen_Most of the year,NA
during_what_times_of_the_year_do_you_use_sunscreen_Never,NA
during_what_times_of_the_year_do_you_use_sunscreen_Only during sunny periods (e.g. Summer),NA
how_many_children_under_5_years_of_age_live_in_your_home_0,NA
how_many_children_under_5_years_of_age_live_in_your_home_1,NA
how_many_children_under_5_years_of_age_live_in_your_home_2,NA
how_many_children_under_5_years_of_age_live_in_your_home_5,NA
ethnicity_Asian,NA
ethnicity_Black,NA
ethnicity_Hispanic,NA
ethnicity_White,NA
stool_consistency_class_soft,NA
how_much_time_do_you_typically_spend_outdoors_per_day_on_weekends_Only during sunny periods (e.g. Summer),NA
group_sweets_total_grams,group_sugarybevg_total_grams
dt_prot,dt_kcal|dt_tfat|dt_s160|dt_s180|dt_thia|dt_niac|dt_chln|dt_phos|dt_pota|dt_sodi|dt_zinc|dt_sel|pf_total|ash|niacin_equiv_ne|trp_g|thr_g|ile_g|leu_g|lys_g|met_g|cys_g|phe_g|tyr_g|val_g|arg_g|histn_g|ala_g|asp_g|glu_g|gly_g|pro_g|ser_g|cholnfr|cholnsm|dt_prot_animal|dt_nitrogen|total_sel|dt_carb|dt_sfat|dt_mfat|dt_pfat|dt_m181|dt_p182|dt_ribo|dt_vitb6|dt_iron|dt_magn|dt_copp|gl|starch|tocphg|tocphd|f18d1c|f18d2cn6|total_m181|total_magn|dt_m161|dt_m201|oils|solid_fats|f17d1|f20d3|fatrnp|dt_s040|dt_s060|dt_s140|f15d0|f17d0|f16d1c|f18d2cla|f20d3n6|f18d1t|f18d2t|fatrnm|dt_s100|f14d1|f16d1t|dt_calc|pantac|dt_chol|cholnptc|chocal|total_calc|group_solid_total_grams|dt_fibe|dt_tfol|dt_folfd|cholnpc|dt_fiber_insol|dt_fiber_sol|dt_prot_vegetable|total_fiber|total_copp|pf_mps_total|cholngpc|phytic_acid|dt_p204|f22d4|hyp|total_zinc|dt_sug_t|fol_dfe|g_total|sucs|glus|dt_s080|dt_p183|tocphb|total_p183|mals|mn|dt_atoc|g_refined|f18d3cn3|f20d0|f20d3n3|dt_s120|d_cheese|f18d3cn6|d_total|total_dairy|dt_vitc|luteol|isorhmntn|t_flavones|v_total|v_other|vita_iu|oxalic_acid|pf_meat|lacs|f20d2cn6|total_vite|total_vitb6|frus|add_sugars|f22d0|f13d0|dt_bcaro|dt_vitk|apigen|b_carotene_equiv|dt_lutze|total_vitk|querce|t_flavonols|v_drkgr|dt_varae|dt_acaro|v_redor_other|total_lutze|f18d1tn7|pf_meat_per_kcal|d_milk|total_milk|total_varae|total_niac|total_fol|total_iron|f24d0|epicatec|catechin|kaemf|myric|t_flavonoids|pac_1|pac_2|v_redor_total|total_thia|total_ribo|total_vb12|epicatecg3|epicategc|epicategc3g|galcategc|thearbign|t_flavan3ols|theaflavin|theaflv33d|theaflv3pg|theaflv3g|v_redor_tomato|dt_lyco
dt_alco,group_alcoholicbeverages_total_grams|a_drinks
dt_p225,dt_p205|dt_p226|pf_seafd_hi|total_p205|total_p226
petunidin,malvidin|pelargdin|t_anthocyadns|cyad|delph|f_whole|pac_4|pac_7|pac10|f_total|f_other|pac_3
naring,dt_crypt|hespt|t_flavanones|f_citmlb
gnstein,ddzein|glyctein|t_isoflavones|pf_soy
v_starchy_potato,v_starchy_total
pf_legumes,v_legumes|formononetin
gals,d_yogurt
fld,dt_mois
toctrd,toctrg
vitd_iu,dt_vitd
f22d1c,dt_m221
camd5,stid7|sitstr
sup_om_6,sup_om_3
pd_whole_tree_fiber,avg_fibe_tnfs
pd_whole_tree_total,pd_whole_tree_carb
time_light,time_sed
bodylean_g,ht_cm
carb_total,kcal_total|sugr_total|mfat_total|sfat_total
sodi_total,prot_total
dt_fiber_sol_per_kcal,total_fiber_per_kcal
in_your_opinion_is_your_typical_sun_exposure_high_or_low_Low,in_your_opinion_is_your_typical_sun_exposure_high_or_low_High
stool_consistency_class_hard,bristol_num
stool_consistency_class_normal,dist_from_ideal
